province,handwashing_facility,count
Western Cape,Yes,5948933
Western Cape,No,1246978
Western Cape,Do not know,9895
Western Cape,Not applicable,25052
Western Cape,Unspecified,0
Eastern Cape,Yes,3574739
Eastern Cape,No,2787625
Eastern Cape,Do not know,12905
Eastern Cape,Not applicable,163785
Eastern Cape,Unspecified,0
Northern Cape,Yes,875866
Northern Cape,No,365698
Northern Cape,Do not know,0
Northern Cape,Not applicable,52480
Northern Cape,Unspecified,0
Free State,Yes,2094535
Free State,No,882131
Free State,Do not know,0
Free State,Not applicable,23771
Free State,Unspecified,0
KwaZulu-Natal,Yes,6730353
KwaZulu-Natal,No,5040059
KwaZulu-Natal,Do not know,11339
KwaZulu-Natal,Not applicable,40290
KwaZulu-Natal,Unspecified,0
North West,Yes,2383711
North West,No,1773338
North West,Do not know,8613
North West,Not applicable,40746
North West,Unspecified,0
Gauteng,Yes,13435006
Gauteng,No,2806540
Gauteng,Do not know,8787
Gauteng,Not applicable,9523
Gauteng,Unspecified,6739
Mpumalanga,Yes,3206749
Mpumalanga,No,1617150
Mpumalanga,Do not know,0
Mpumalanga,Not applicable,33311
Mpumalanga,Unspecified,0
Limpopo,Yes,2259236
Limpopo,No,3850501
Limpopo,Do not know,0
Limpopo,Not applicable,57783
Limpopo,Unspecified,0
