province,water_supply,count
Western Cape,Yes,6547368
Western Cape,No,678598
Western Cape,Do not know,4892
Western Cape,Unspecified,0
Eastern Cape,Yes,3665758
Eastern Cape,No,2865942
Eastern Cape,Do not know,7354
Eastern Cape,Unspecified,0
Northern Cape,Yes,1115343
Northern Cape,No,175946
Northern Cape,Do not know,2754
Northern Cape,Unspecified,0
Free State,Yes,2750738
Free State,No,238865
Free State,Do not know,10834
Free State,Unspecified,0
KwaZulu-Natal,Yes,8840016
KwaZulu-Natal,No,2729292
KwaZulu-Natal,Do not know,252733
KwaZulu-Natal,Unspecified,0
North West,Yes,2787323
North West,No,1282873
North West,Do not know,136212
North West,Unspecified,0
Gauteng,Yes,15149588
Gauteng,No,952770
Gauteng,Do not know,157498
Gauteng,Unspecified,6739
Mpumalanga,Yes,3986595
Mpumalanga,No,828942
Mpumalanga,Do not know,41672
Mpumalanga,Unspecified,0
Limpopo,Yes,3360251
Limpopo,No,2766529
Limpopo,Do not know,40739
Limpopo,Unspecified,0
