muni_code,muni_name,muni_long_name,province,muni_category,miif_category,num_taxpayers,taxable_income_rm,avg_taxable_income,total_capex_rm,total_budget_rm,spending_ratio,underspend_pct,opinion_code,opinion_label,governance_score,uifw_total_rm,uifw_pct_budget
BUF,Buffalo City,"Buffalo City, Eastern Cape",Eastern Cape,A,A,97402.0,28809.0,295774.0,3003.87,3512.7,0.855,14.5,qualified,Qualified,3.0,311.22,8.86
CPT,Cape Town,"Cape Town, Western Cape",Western Cape,A,A,702976.0,236939.0,337051.0,8945.06,14392.87,0.621,37.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,774.51,5.38
EC101,Dr Beyers Naude,"Dr Beyers Naude, Eastern Cape",Eastern Cape,B,B3,5682.0,1210.0,212953.0,90.78,148.88,0.61,39.0,qualified,Qualified,3.0,90.6,60.85
EC102,Blue Crane Route,"Blue Crane Route, Eastern Cape",Eastern Cape,B,B3,2503.0,538.0,214942.0,83.67,106.63,0.785,21.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,8.23,7.72
EC103,Ikwezi,"Ikwezi, Eastern Cape",Eastern Cape,B,B3,,,,,,,,,,,,
EC104,Makana,"Makana, Eastern Cape",Eastern Cape,B,B2,6754.0,1898.0,281019.0,50.11,115.16,0.435,56.5,disclaimer,Disclaimer of opinion,1.0,129.21,112.2
EC105,Ndlambe,"Ndlambe, Eastern Cape",Eastern Cape,B,B3,5689.0,1337.0,235015.0,324.9,263.48,1.233,-23.3,qualified,Qualified,3.0,277.07,105.16
EC106,Sundays River Valley,"Sundays River Valley, Eastern Cape",Eastern Cape,B,B3,3472.0,763.0,219758.0,1421.29,49.02,28.995,-2799.5,disclaimer,Disclaimer of opinion,1.0,76.56,156.18
EC107,Baviaans,"Baviaans, Eastern Cape",Eastern Cape,B,B3,,,,,,,,,,,,
EC108,Kouga,"Kouga, Eastern Cape",Eastern Cape,B,B3,13730.0,3494.0,254479.0,193.16,239.38,0.807,19.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,3.58,1.5
EC109,Kou-Kamma,"Kou-Kamma, Eastern Cape",Eastern Cape,B,B3,2248.0,463.0,205961.0,36.29,48.97,0.741,25.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,11.88,24.26
