muni_code,demarcation_label,opinion_code,opinion_label,governance_score
BUF,Buffalo City,qualified,Qualified,3
CPT,Cape Town,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC1,West Coast,unqualified,Unqualified - No findings,5
DC10,Sarah Baartman,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC12,Amathole,adverse,Adverse opinion,2
DC13,Chris Hani,disclaimer,Disclaimer of opinion,1
DC14,Joe Gqabi,unqualified,Unqualified - No findings,5
DC15,O R Tambo,qualified,Qualified,3
DC16,Xhariep,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC18,Lejweleputswa,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC19,Thabo Mofutsanyana,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC2,Cape Winelands DM,unqualified,Unqualified - No findings,5
DC20,Fezile Dabi,qualified,Qualified,3
DC21,Ugu,qualified,Qualified,3
DC22,uMgungundlovu,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC23,Uthukela,qualified,Qualified,3
DC24,Umzinyathi,qualified,Qualified,3
DC25,Amajuba,qualified,Qualified,3
DC26,Zululand,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC27,Umkhanyakude,disclaimer,Disclaimer of opinion,1
DC28,King Cetshwayo,unqualified,Unqualified - No findings,5
DC29,iLembe,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC3,Overberg,unqualified,Unqualified - No findings,5
DC30,Gert Sibande,unqualified,Unqualified - No findings,5
DC31,Nkangala,unqualified,Unqualified - No findings,5
DC32,Ehlanzeni,unqualified,Unqualified - No findings,5
DC33,Mopani,disclaimer,Disclaimer of opinion,1
DC34,Vhembe,qualified,Qualified,3
DC35,Capricorn,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC36,Waterberg,unqualified,Unqualified - No findings,5
DC37,Bojanala Platinum,outstanding,Outstanding,0
DC38,Ngaka Modiri Molema,adverse,Adverse opinion,2
DC39,Dr Ruth Segomotsi Mompati,qualified,Qualified,3
DC4,Garden Route,unqualified,Unqualified - No findings,5
DC40,Dr Kenneth Kaunda,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC42,Sedibeng,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC43,Harry Gwala,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC44,Alfred Nzo,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC45,John Taolo Gaetsewe,unqualified,Unqualified - No findings,5
DC47,Sekhukhune,qualified,Qualified,3
DC48,West Rand,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC5,Central Karoo,unqualified,Unqualified - No findings,5
DC6,Namakwa,unqualified,Unqualified - No findings,5
DC7,Pixley Ka Seme (NC),unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
DC8,Z F Mgcawu,unqualified,Unqualified - No findings,5
DC9,Frances Baard,unqualified,Unqualified - No findings,5
EC101,Dr Beyers Naude,qualified,Qualified,3
EC102,Blue Crane Route,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC104,Makana,disclaimer,Disclaimer of opinion,1
EC105,Ndlambe,qualified,Qualified,3
EC106,Sundays River Valley,disclaimer,Disclaimer of opinion,1
EC108,Kouga,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC109,Kou-Kamma,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC121,Mbhashe,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC122,Mnquma,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC123,Great Kei,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC124,Amahlathi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
EC126,Ngqushwa,qualified,Qualified,3
EC129,Raymond Mhlaba,qualified,Qualified,3
