muni_code,total_capex,total_capex_rm,total_budget,total_budget_rm,spending_ratio,underspend_pct
BUF,3003868942.0,3003.87,3512701832.0,3512.7,0.855,14.5
CPT,8945057899.0,8945.06,14392869622.0,14392.87,0.621,37.9
DC1,27641556.0,27.64,36458176.0,36.46,0.758,24.2
DC10,2170669.0,2.17,10312200.0,10.31,0.21,79.0
DC12,276648848.0,276.65,509183604.0,509.18,0.543,45.7
DC13,610405733.0,610.41,802243058.0,802.24,0.761,23.9
DC14,238591255.0,238.59,364550075.0,364.55,0.654,34.6
DC15,579435475.0,579.44,1528049202.0,1528.05,0.379,62.1
DC16,157311.0,0.16,2216850.0,2.22,0.071,92.9
DC18,6120340.0,6.12,22754304.0,22.75,0.269,73.1
DC19,2395332.0,2.4,9403722.0,9.4,0.255,74.5
DC2,17481478.0,17.48,24159597.0,24.16,0.724,27.6
DC20,3352212.0,3.35,8181000.0,8.18,0.41,59.0
DC21,288434527.0,288.43,513897625.0,513.9,0.561,43.9
DC22,2783282234.0,2783.28,342709497.0,342.71,8.121,-712.1
DC23,342911468.0,342.91,389909955.0,389.91,0.879,12.1
DC24,461655552.0,461.66,383939300.0,383.94,1.202,-20.2
DC25,114918645.0,114.92,149696783.0,149.7,0.768,23.2
DC26,549875784.0,549.88,538983944.0,538.98,1.02,-2.0
DC27,220188445.0,220.19,387117823.0,387.12,0.569,43.1
DC28,534425933.0,534.43,535075739.0,535.08,0.999,0.1
DC3,15182275.0,15.18,17599518.0,17.6,0.863,13.7
DC30,56506847.0,56.51,63017752.0,63.02,0.897,10.3
DC31,59902999.0,59.9,76597185.0,76.6,0.782,21.8
DC32,34125537.0,34.13,47188242.0,47.19,0.723,27.7
DC33,826662641.0,826.66,1154884873.0,1154.88,0.716,28.4
DC34,754276020.0,754.28,1105954688.0,1105.95,0.682,31.8
DC35,522642515.0,522.64,521173000.0,521.17,1.003,-0.3
DC36,11100998.0,11.1,23266392.0,23.27,0.477,52.3
DC37,1660532.0,1.66,13213225.0,13.21,0.126,87.4
DC38,480480663.0,480.48,830869704.0,830.87,0.578,42.2
DC4,13244715.0,13.24,22140722.0,22.14,0.598,40.2
DC40,10475938.0,10.48,37111233.0,37.11,0.282,71.8
DC42,25095004.0,25.1,22311474.0,22.31,1.125,-12.5
DC43,394369511.0,394.37,463320402.0,463.32,0.851,14.9
DC44,558188770.0,558.19,752510350.0,752.51,0.742,25.8
DC45,3703428.0,3.7,4873883.0,4.87,0.76,24.0
DC47,502360568.0,502.36,763804045.0,763.8,0.658,34.2
DC48,4446808.0,4.45,4915000.0,4.92,0.905,9.5
DC5,1655712.0,1.66,4650537.0,4.65,0.356,64.4
DC6,3113166.0,3.11,3650673.0,3.65,0.853,14.7
DC7,4130917.0,4.13,4150000.0,4.15,0.995,0.5
DC8,1736027.0,1.74,1756640.0,1.76,0.988,1.2
DC9,9601356.0,9.6,24531090.0,24.53,0.391,60.9
EC101,90784487.0,90.78,148875137.0,148.88,0.61,39.0
EC102,83672550.0,83.67,106630151.0,106.63,0.785,21.5
EC104,50109847.0,50.11,115156632.0,115.16,0.435,56.5
EC105,324896749.0,324.9,263475367.0,263.48,1.233,-23.3
EC106,1421285933.0,1421.29,49018711.0,49.02,28.995,-2799.5
EC108,193163078.0,193.16,239375794.0,239.38,0.807,19.3
EC109,36287552.0,36.29,48967218.0,48.97,0.741,25.9
EC121,194838636.0,194.84,173943532.0,173.94,1.12,-12.0
EC122,92810397.0,92.81,272019081.0,272.02,0.341,65.9
EC123,27732562.0,27.73,32263232.0,32.26,0.86,14.0
EC124,39434744.0,39.43,83594248.0,83.59,0.472,52.8
EC126,52870129.0,52.87,63944522.0,63.94,0.827,17.3
EC129,48760870.0,48.76,96238135.0,96.24,0.507,49.3
EC131,119039738.0,119.04,86359720.0,86.36,1.378,-37.8
EC135,74178576.0,74.18,170391804.0,170.39,0.435,56.5
EC136,78677135.0,78.68,72106902.0,72.11,1.091,-9.1
EC138,24276629.0,24.28,50034117.0,50.03,0.485,51.5
EC139,89651886.0,89.65,143657101.0,143.66,0.624,37.6
EC141,94567703.0,94.57,156662194.0,156.66,0.604,39.6
EC142,47609826.0,47.61,198759872.0,198.76,0.24,76.0
EC145,4930118.0,4.93,55515365.0,55.52,0.089,91.1
EC153,171821199.0,171.82,278597410.0,278.6,0.617,38.3
EC154,110930452.0,110.93,190896512.0,190.9,0.581,41.9
EC155,199388086.0,199.39,211035513.0,211.04,0.945,5.5
EC156,120699129.0,120.7,156518465.0,156.52,0.771,22.9
EC157,485149958.0,485.15,452690913.0,452.69,1.072,-7.2
EC441,169052870.0,169.05,247515685.0,247.52,0.683,31.7
EC442,257597090.0,257.6,308266507.0,308.27,0.836,16.4
EC443,166548523.0,166.55,245570416.0,245.57,0.678,32.2
EC444,54719422.0,54.72,96224530.0,96.22,0.569,43.1
EKU,9158924334.0,9158.92,9810739127.0,9810.74,0.934,6.6
ETH,8388695665.0,8388.7,11252752896.0,11252.75,0.745,25.5
FS161,24767471.0,24.77,178735628.0,178.74,0.139,86.1
FS162,10139771.0,10.14,126293870.0,126.29,0.08,92.0
FS163,52072663.0,52.07,121375274.0,121.38,0.429,57.1
FS181,773307.0,0.77,62450003.0,62.45,0.012,98.8
FS182,43147204.0,43.15,96938001.0,96.94,0.445,55.5
FS183,37185533.0,37.19,64659751.0,64.66,0.575,42.5
FS184,132551636.0,132.55,355483306.0,355.48,0.373,62.7
FS185,237362190.0,237.36,349217441.0,349.22,0.68,32.0
FS191,162147784.0,162.15,332470092.0,332.47,0.488,51.2
FS192,81663543.0,81.66,205676585.0,205.68,0.397,60.3
FS193,55144892.0,55.14,135088368.0,135.09,0.408,59.2
FS194,301802889.0,301.8,612267447.0,612.27,0.493,50.7
FS195,72748884.0,72.75,105248913.0,105.25,0.691,30.9
FS196,34744876.0,34.74,64024542.0,64.02,0.543,45.7
FS201,125463975.0,125.46,189442483.0,189.44,0.662,33.8
FS203,135604035.0,135.6,201362071.0,201.36,0.673,32.7
FS204,58447447.0,58.45,319476140.0,319.48,0.183,81.7
FS205,43292995.0,43.29,112280345.0,112.28,0.386,61.4
GT421,649717268.0,649.72,1184014315.0,1184.01,0.549,45.1
GT422,467442042.0,467.44,522663884.0,522.66,0.894,10.6
