muni_code,demarcation_label,uifw_fruitless,uifw_irregular,uifw_unauthorised,uifw_total,uifw_total_rm
BUF,Buffalo City,0.0,311222630.0,0.0,311222630.0,311.22
CPT,Cape Town,12328000.0,762186000.0,0.0,774514000.0,774.51
DC1,West Coast,315879.0,8652271.0,0.0,8968150.0,8.97
DC10,Sarah Baartman,0.0,1718002.0,0.0,1718002.0,1.72
DC12,Amathole,6960460.0,39232551.0,0.0,46193011.0,46.19
DC13,Chris Hani,456109.0,56504779.0,392410627.0,449371515.0,449.37
DC14,Joe Gqabi,0.0,53067316.0,0.0,53067316.0,53.07
DC15,O R Tambo,8250849.0,249859996.0,1197150.0,259307995.0,259.31
DC16,Xhariep,74813.0,3697063.0,1861390.0,5633266.0,5.63
DC18,Lejweleputswa,0.0,10868942.0,2912252.0,13781194.0,13.78
DC19,Thabo Mofutsanyana,3626.0,16920949.0,0.0,16924575.0,16.92
DC2,Cape Winelands DM,0.0,1486022.0,0.0,1486022.0,1.49
DC20,Fezile Dabi,0.0,27734003.0,46579839.0,74313842.0,74.31
DC21,Ugu,14197445.0,177751802.0,252414680.0,444363927.0,444.36
DC22,uMgungundlovu,283278.0,13332251.0,86575122.0,100190651.0,100.19
DC23,Uthukela,3846296.0,82826211.0,62343845.0,149016352.0,149.02
DC24,Umzinyathi,276625.0,299928152.0,221697206.0,521901983.0,521.9
DC25,Amajuba,3151383.0,199647348.0,64898298.0,267697029.0,267.7
DC26,Zululand,363040.0,17918070.0,127661348.0,145942458.0,145.94
DC27,Umkhanyakude,9784620.0,193344394.0,31857680.0,234986694.0,234.99
DC28,King Cetshwayo,887464.0,30929093.0,20033993.0,51850550.0,51.85
DC29,iLembe,4375888.0,38465190.0,0.0,42841078.0,42.84
DC3,Overberg,0.0,6858060.0,3632595.0,10490655.0,10.49
DC30,Gert Sibande,0.0,0.0,0.0,0.0,0.0
DC31,Nkangala,0.0,1052188.0,0.0,1052188.0,1.05
DC32,Ehlanzeni,50177.0,666528.0,0.0,716705.0,0.72
DC33,Mopani,43709506.0,300278005.0,80584359.0,424571870.0,424.57
DC34,Vhembe,150397.0,223587468.0,1430908837.0,1654646702.0,1654.65
DC35,Capricorn,700552.0,2476130.0,0.0,3176682.0,3.18
DC36,Waterberg,0.0,1465921.0,0.0,1465921.0,1.47
DC37,Bojanala Platinum,82404.0,38780866.0,7959757.0,46823027.0,46.82
