demarcation.code,demarcation.label,financial_year_end.year,opinion.code,opinion.label
BUF,Buffalo City,2021,qualified,Qualified
CPT,Cape Town,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC1,West Coast,2021,unqualified,Unqualified - No findings
DC10,Sarah Baartman,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC12,Amathole,2021,adverse,Adverse opinion
DC13,Chris Hani,2021,disclaimer,Disclaimer of opinion
DC14,Joe Gqabi,2021,unqualified,Unqualified - No findings
DC15,O R Tambo,2021,qualified,Qualified
DC16,Xhariep,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC18,Lejweleputswa,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC19,Thabo Mofutsanyana,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC2,Cape Winelands DM,2021,unqualified,Unqualified - No findings
DC20,Fezile Dabi,2021,qualified,Qualified
DC21,Ugu,2021,qualified,Qualified
DC22,uMgungundlovu,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC23,Uthukela,2021,qualified,Qualified
DC24,Umzinyathi,2021,qualified,Qualified
DC25,Amajuba,2021,qualified,Qualified
DC26,Zululand,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC27,Umkhanyakude,2021,disclaimer,Disclaimer of opinion
DC28,King Cetshwayo,2021,unqualified,Unqualified - No findings
DC29,iLembe,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC3,Overberg,2021,unqualified,Unqualified - No findings
DC30,Gert Sibande,2021,unqualified,Unqualified - No findings
DC31,Nkangala,2021,unqualified,Unqualified - No findings
DC32,Ehlanzeni,2021,unqualified,Unqualified - No findings
DC33,Mopani,2021,disclaimer,Disclaimer of opinion
DC34,Vhembe,2021,qualified,Qualified
DC35,Capricorn,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC36,Waterberg,2021,unqualified,Unqualified - No findings
DC37,Bojanala Platinum,2021,outstanding,Outstanding
DC38,Ngaka Modiri Molema,2021,adverse,Adverse opinion
DC39,Dr Ruth Segomotsi Mompati,2021,qualified,Qualified
DC4,Garden Route,2021,unqualified,Unqualified - No findings
DC40,Dr Kenneth Kaunda,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC42,Sedibeng,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC43,Harry Gwala,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC44,Alfred Nzo,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC45,John Taolo Gaetsewe,2021,unqualified,Unqualified - No findings
DC47,Sekhukhune,2021,qualified,Qualified
DC48,West Rand,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC5,Central Karoo,2021,unqualified,Unqualified - No findings
DC6,Namakwa,2021,unqualified,Unqualified - No findings
DC7,Pixley Ka Seme (NC),2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
DC8,Z F Mgcawu,2021,unqualified,Unqualified - No findings
DC9,Frances Baard,2021,unqualified,Unqualified - No findings
EC101,Dr Beyers Naude,2021,qualified,Qualified
EC102,Blue Crane Route,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC104,Makana,2021,disclaimer,Disclaimer of opinion
EC105,Ndlambe,2021,qualified,Qualified
EC106,Sundays River Valley,2021,disclaimer,Disclaimer of opinion
EC108,Kouga,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC109,Kou-Kamma,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC121,Mbhashe,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC122,Mnquma,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC123,Great Kei,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC124,Amahlathi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC126,Ngqushwa,2021,qualified,Qualified
EC129,Raymond Mhlaba,2021,qualified,Qualified
EC131,Inxuba Yethemba,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC135,Intsika Yethu,2021,qualified,Qualified
EC136,Emalahleni (EC),2021,qualified,Qualified
EC137,Dr. A.B. Xuma,2021,qualified,Qualified
EC138,Sakhisizwe,2021,qualified,Qualified
EC139,Enoch Mgijima,2021,qualified,Qualified
EC141,Elundini,2021,unqualified,Unqualified - No findings
EC142,Senqu,2021,unqualified,Unqualified - No findings
EC145,Walter Sisulu,2021,disclaimer,Disclaimer of opinion
EC153,Ngquza Hills,2021,qualified,Qualified
EC154,Port St Johns,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC155,Nyandeni,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC156,Mhlontlo,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC157,King Sabata Dalindyebo,2021,qualified,Qualified
EC441,Matatiele,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC442,Umzimvubu,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EC443,Winnie Madikizela-Mandela,2021,unqualified,Unqualified - No findings
EC444,Ntabankulu,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
EKU,City of Ekurhuleni,2021,unqualified,Unqualified - No findings
ETH,eThekwini,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
FS161,Letsemeng,2021,qualified,Qualified
FS162,Kopanong,2021,outstanding,Outstanding
FS163,Mohokare,2021,outstanding,Outstanding
FS181,Masilonyana,2021,outstanding,Outstanding
FS182,Tokologo,2021,outstanding,Outstanding
FS183,Tswelopele,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
FS184,Matjhabeng,2021,qualified,Qualified
FS185,Nala,2021,outstanding,Outstanding
FS191,Setsoto,2021,qualified,Qualified
FS192,Dihlabeng,2021,qualified,Qualified
FS193,Nketoana,2021,outstanding,Outstanding
FS194,Maluti-a-Phofung,2021,outstanding,Outstanding
FS195,Phumelela,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
FS196,Mantsopa,2021,outstanding,Outstanding
FS201,Moqhaka,2021,qualified,Qualified
FS203,Ngwathe,2021,qualified,Qualified
FS204,Metsimaholo,2021,qualified,Qualified
FS205,Mafube,2021,outstanding,Outstanding
GT421,Emfuleni,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
GT422,Midvaal,2021,unqualified,Unqualified - No findings
GT423,Lesedi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
GT481,Mogale City,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
GT484,Merafong City,2021,adverse,Adverse opinion
GT485,Rand West City,2021,qualified,Qualified
JHB,City of Johannesburg,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN212,Umdoni,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN213,Umzumbe,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN214,uMuziwabantu,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN216,Ray Nkonyeni,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN221,uMshwathi,2021,qualified,Qualified
KZN222,uMngeni,2021,qualified,Qualified
KZN223,Mpofana,2021,qualified,Qualified
KZN224,Impendle,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN225,Msunduzi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN226,Mkhambathini,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN227,Richmond,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN235,Okhahlamba,2021,unqualified,Unqualified - No findings
KZN237,Inkosi Langalibalele,2021,disclaimer,Disclaimer of opinion
KZN238,Alfred Duma,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN241,Endumeni,2021,qualified,Qualified
KZN242,Nquthu,2021,disclaimer,Disclaimer of opinion
KZN244,Msinga,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN245,Umvoti,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN252,Newcastle,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN253,Emadlangeni,2021,qualified,Qualified
KZN254,Dannhauser,2021,qualified,Qualified
KZN261,eDumbe,2021,qualified,Qualified
KZN262,uPhongolo,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN263,Abaqulusi,2021,qualified,Qualified
KZN265,Nongoma,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN266,Ulundi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN271,Umhlabuyalingana,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN272,Jozini,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN275,Mtubatuba,2021,qualified,Qualified
KZN276,Hlabisa Big Five,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN281,Mfolozi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN282,uMhlathuze,2021,unqualified,Unqualified - No findings
KZN284,uMlalazi,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN285,Mthonjaneni,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN286,Nkandla,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN291,Mandeni,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN292,KwaDukuza,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN293,Ndwedwe,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN294,Maphumulo,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN433,Greater Kokstad,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN434,Ubuhlebezwe,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
KZN435,Umzimkhulu,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
