municipality.demarcation_code,municipality.name,municipality.long_name,municipality.province_name,municipality.category,municipality.miif_category
BUF,Buffalo City,"Buffalo City, Eastern Cape",Eastern Cape,A,A
CPT,Cape Town,"Cape Town, Western Cape",Western Cape,A,A
DC1,West Coast,"West Coast, Western Cape",Western Cape,C,C1
DC10,Sarah Baartman,"Sarah Baartman, Eastern Cape",Eastern Cape,C,C1
DC12,Amathole,"Amathole, Eastern Cape",Eastern Cape,C,C2
DC13,Chris Hani,"Chris Hani, Eastern Cape",Eastern Cape,C,C2
DC14,Joe Gqabi,"Joe Gqabi, Eastern Cape",Eastern Cape,C,C2
DC15,O R Tambo,"O R Tambo, Eastern Cape",Eastern Cape,C,C2
DC16,Xhariep,"Xhariep, Free State",Free State,C,C1
DC18,Lejweleputswa,"Lejweleputswa, Free State",Free State,C,C1
DC19,Thabo Mofutsanyana,"Thabo Mofutsanyana, Free State",Free State,C,C1
DC2,Cape Winelands DM,"Cape Winelands DM, Western Cape",Western Cape,C,C1
DC20,Fezile Dabi,"Fezile Dabi, Free State",Free State,C,C1
DC21,Ugu,"Ugu, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC22,uMgungundlovu,"uMgungundlovu, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC23,Uthukela,"Uthukela, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC24,Umzinyathi,"Umzinyathi, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC25,Amajuba,"Amajuba, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC26,Zululand,"Zululand, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC27,Umkhanyakude,"Umkhanyakude, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC28,King Cetshwayo,"King Cetshwayo, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC29,iLembe,"iLembe, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC3,Overberg,"Overberg, Western Cape",Western Cape,C,C1
DC30,Gert Sibande,"Gert Sibande, Mpumalanga",Mpumalanga,C,C1
DC31,Nkangala,"Nkangala, Mpumalanga",Mpumalanga,C,C1
DC32,Ehlanzeni,"Ehlanzeni, Mpumalanga",Mpumalanga,C,C1
DC33,Mopani,"Mopani, Limpopo",Limpopo,C,C2
DC34,Vhembe,"Vhembe, Limpopo",Limpopo,C,C2
DC35,Capricorn,"Capricorn, Limpopo",Limpopo,C,C2
DC36,Waterberg,"Waterberg, Limpopo",Limpopo,C,C1
DC37,Bojanala Platinum,"Bojanala Platinum, North West",North West,C,C1
DC38,Ngaka Modiri Molema,"Ngaka Modiri Molema, North West",North West,C,C2
DC39,Dr Ruth Segomotsi Mompati,"Dr Ruth Segomotsi Mompati, North West",North West,C,C2
DC4,Garden Route,"Garden Route, Western Cape",Western Cape,C,C1
DC40,Dr Kenneth Kaunda,"Dr Kenneth Kaunda, North West",North West,C,C1
DC42,Sedibeng,"Sedibeng, Gauteng",Gauteng,C,C1
DC43,Harry Gwala,"Harry Gwala, Kwazulu-Natal",Kwazulu-Natal,C,C2
DC44,Alfred Nzo,"Alfred Nzo, Eastern Cape",Eastern Cape,C,C2
DC45,John Taolo Gaetsewe,"John Taolo Gaetsewe, Northern Cape",Northern Cape,C,C1
DC47,Sekhukhune,"Sekhukhune, Limpopo",Limpopo,C,C2
DC48,West Rand,"West Rand, Gauteng",Gauteng,C,C1
DC5,Central Karoo,"Central Karoo, Western Cape",Western Cape,C,C1
DC6,Namakwa,"Namakwa, Northern Cape",Northern Cape,C,C1
DC7,Pixley Ka Seme (NC),"Pixley Ka Seme (NC), Northern Cape",Northern Cape,C,C1
DC8,Z F Mgcawu,"Z F Mgcawu, Northern Cape",Northern Cape,C,C1
DC9,Frances Baard,"Frances Baard, Northern Cape",Northern Cape,C,C1
EC101,Dr Beyers Naude,"Dr Beyers Naude, Eastern Cape",Eastern Cape,B,B3
EC102,Blue Crane Route,"Blue Crane Route, Eastern Cape",Eastern Cape,B,B3
EC103,Ikwezi,"Ikwezi, Eastern Cape",Eastern Cape,B,B3
EC104,Makana,"Makana, Eastern Cape",Eastern Cape,B,B2
EC105,Ndlambe,"Ndlambe, Eastern Cape",Eastern Cape,B,B3
EC106,Sundays River Valley,"Sundays River Valley, Eastern Cape",Eastern Cape,B,B3
EC107,Baviaans,"Baviaans, Eastern Cape",Eastern Cape,B,B3
EC108,Kouga,"Kouga, Eastern Cape",Eastern Cape,B,B3
EC109,Kou-Kamma,"Kou-Kamma, Eastern Cape",Eastern Cape,B,B3
EC121,Mbhashe,"Mbhashe, Eastern Cape",Eastern Cape,B,B4
EC122,Mnquma,"Mnquma, Eastern Cape",Eastern Cape,B,B4
EC123,Great Kei,"Great Kei, Eastern Cape",Eastern Cape,B,B3
EC124,Amahlathi,"Amahlathi, Eastern Cape",Eastern Cape,B,B3
EC126,Ngqushwa,"Ngqushwa, Eastern Cape",Eastern Cape,B,B4
EC127,Nkonkobe,"Nkonkobe, Eastern Cape",Eastern Cape,B,B3
EC128,Nxuba,"Nxuba, Eastern Cape",Eastern Cape,B,B3
EC129,Raymond Mhlaba,"Raymond Mhlaba, Eastern Cape",Eastern Cape,B,B3
EC131,Inxuba Yethemba,"Inxuba Yethemba, Eastern Cape",Eastern Cape,B,B3
EC132,Tsolwana,"Tsolwana, Eastern Cape",Eastern Cape,B,B3
EC133,Inkwanca,"Inkwanca, Eastern Cape",Eastern Cape,B,B3
