demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
BUF,Buffalo City,2021,fruitless,Fruitless and Wasteful Expenditure,0
BUF,Buffalo City,2021,irregular,Irregular Expenditure,311222630
BUF,Buffalo City,2021,unauthorised,Unauthorised Expenditure,0
CPT,Cape Town,2021,fruitless,Fruitless and Wasteful Expenditure,12328000
CPT,Cape Town,2021,irregular,Irregular Expenditure,762186000
CPT,Cape Town,2021,unauthorised,Unauthorised Expenditure,0
DC1,West Coast,2021,fruitless,Fruitless and Wasteful Expenditure,315879
DC1,West Coast,2021,irregular,Irregular Expenditure,8652271
DC1,West Coast,2021,unauthorised,Unauthorised Expenditure,0
DC10,Sarah Baartman,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC10,Sarah Baartman,2021,irregular,Irregular Expenditure,1718002
DC10,Sarah Baartman,2021,unauthorised,Unauthorised Expenditure,0
DC12,Amathole,2021,fruitless,Fruitless and Wasteful Expenditure,6960460
DC12,Amathole,2021,irregular,Irregular Expenditure,39232551
DC12,Amathole,2021,unauthorised,Unauthorised Expenditure,0
DC13,Chris Hani,2021,fruitless,Fruitless and Wasteful Expenditure,456109
DC13,Chris Hani,2021,irregular,Irregular Expenditure,56504779
DC13,Chris Hani,2021,unauthorised,Unauthorised Expenditure,392410627
DC14,Joe Gqabi,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC14,Joe Gqabi,2021,irregular,Irregular Expenditure,53067316
DC14,Joe Gqabi,2021,unauthorised,Unauthorised Expenditure,0
DC15,O R Tambo,2021,fruitless,Fruitless and Wasteful Expenditure,8250849
DC15,O R Tambo,2021,irregular,Irregular Expenditure,249859996
DC15,O R Tambo,2021,unauthorised,Unauthorised Expenditure,1197150
DC16,Xhariep,2021,fruitless,Fruitless and Wasteful Expenditure,74813
DC16,Xhariep,2021,irregular,Irregular Expenditure,3697063
DC16,Xhariep,2021,unauthorised,Unauthorised Expenditure,1861390
DC18,Lejweleputswa,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC18,Lejweleputswa,2021,irregular,Irregular Expenditure,10868942
DC18,Lejweleputswa,2021,unauthorised,Unauthorised Expenditure,2912252
DC19,Thabo Mofutsanyana,2021,fruitless,Fruitless and Wasteful Expenditure,3626
DC19,Thabo Mofutsanyana,2021,irregular,Irregular Expenditure,16920949
DC19,Thabo Mofutsanyana,2021,unauthorised,Unauthorised Expenditure,0
DC2,Cape Winelands DM,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC2,Cape Winelands DM,2021,irregular,Irregular Expenditure,1486022
DC2,Cape Winelands DM,2021,unauthorised,Unauthorised Expenditure,0
DC20,Fezile Dabi,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC20,Fezile Dabi,2021,irregular,Irregular Expenditure,27734003
DC20,Fezile Dabi,2021,unauthorised,Unauthorised Expenditure,46579839
DC21,Ugu,2021,fruitless,Fruitless and Wasteful Expenditure,14197445
DC21,Ugu,2021,irregular,Irregular Expenditure,177751802
DC21,Ugu,2021,unauthorised,Unauthorised Expenditure,252414680
DC22,uMgungundlovu,2021,fruitless,Fruitless and Wasteful Expenditure,283278
DC22,uMgungundlovu,2021,irregular,Irregular Expenditure,13332251
DC22,uMgungundlovu,2021,unauthorised,Unauthorised Expenditure,86575122
DC23,Uthukela,2021,fruitless,Fruitless and Wasteful Expenditure,3846296
DC23,Uthukela,2021,irregular,Irregular Expenditure,82826211
DC23,Uthukela,2021,unauthorised,Unauthorised Expenditure,62343845
DC24,Umzinyathi,2021,fruitless,Fruitless and Wasteful Expenditure,276625
DC24,Umzinyathi,2021,irregular,Irregular Expenditure,299928152
DC24,Umzinyathi,2021,unauthorised,Unauthorised Expenditure,221697206
DC25,Amajuba,2021,fruitless,Fruitless and Wasteful Expenditure,3151383
DC25,Amajuba,2021,irregular,Irregular Expenditure,199647348
DC25,Amajuba,2021,unauthorised,Unauthorised Expenditure,64898298
DC26,Zululand,2021,fruitless,Fruitless and Wasteful Expenditure,363040
DC26,Zululand,2021,irregular,Irregular Expenditure,17918070
DC26,Zululand,2021,unauthorised,Unauthorised Expenditure,127661348
DC27,Umkhanyakude,2021,fruitless,Fruitless and Wasteful Expenditure,9784620
DC27,Umkhanyakude,2021,irregular,Irregular Expenditure,193344394
DC27,Umkhanyakude,2021,unauthorised,Unauthorised Expenditure,31857680
DC28,King Cetshwayo,2021,fruitless,Fruitless and Wasteful Expenditure,887464
DC28,King Cetshwayo,2021,irregular,Irregular Expenditure,30929093
DC28,King Cetshwayo,2021,unauthorised,Unauthorised Expenditure,20033993
DC29,iLembe,2021,fruitless,Fruitless and Wasteful Expenditure,4375888
DC29,iLembe,2021,irregular,Irregular Expenditure,38465190
DC29,iLembe,2021,unauthorised,Unauthorised Expenditure,0
DC3,Overberg,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC3,Overberg,2021,irregular,Irregular Expenditure,6858060
DC3,Overberg,2021,unauthorised,Unauthorised Expenditure,3632595
DC30,Gert Sibande,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC30,Gert Sibande,2021,irregular,Irregular Expenditure,0
DC30,Gert Sibande,2021,unauthorised,Unauthorised Expenditure,0
DC31,Nkangala,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC31,Nkangala,2021,irregular,Irregular Expenditure,1052188
DC31,Nkangala,2021,unauthorised,Unauthorised Expenditure,0
DC32,Ehlanzeni,2021,fruitless,Fruitless and Wasteful Expenditure,50177
DC32,Ehlanzeni,2021,irregular,Irregular Expenditure,666528
DC32,Ehlanzeni,2021,unauthorised,Unauthorised Expenditure,0
DC33,Mopani,2021,fruitless,Fruitless and Wasteful Expenditure,43709506
DC33,Mopani,2021,irregular,Irregular Expenditure,300278005
DC33,Mopani,2021,unauthorised,Unauthorised Expenditure,80584359
DC34,Vhembe,2021,fruitless,Fruitless and Wasteful Expenditure,150397
DC34,Vhembe,2021,irregular,Irregular Expenditure,223587468
DC34,Vhembe,2021,unauthorised,Unauthorised Expenditure,1430908837
DC35,Capricorn,2021,fruitless,Fruitless and Wasteful Expenditure,700552
DC35,Capricorn,2021,irregular,Irregular Expenditure,2476130
DC35,Capricorn,2021,unauthorised,Unauthorised Expenditure,0
DC36,Waterberg,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC36,Waterberg,2021,irregular,Irregular Expenditure,1465921
DC36,Waterberg,2021,unauthorised,Unauthorised Expenditure,0
DC37,Bojanala Platinum,2021,fruitless,Fruitless and Wasteful Expenditure,82404
DC37,Bojanala Platinum,2021,irregular,Irregular Expenditure,38780866
DC37,Bojanala Platinum,2021,unauthorised,Unauthorised Expenditure,7959757
DC38,Ngaka Modiri Molema,2021,fruitless,Fruitless and Wasteful Expenditure,27219
DC38,Ngaka Modiri Molema,2021,irregular,Irregular Expenditure,334315604
DC38,Ngaka Modiri Molema,2021,unauthorised,Unauthorised Expenditure,157857532
DC39,Dr Ruth Segomotsi Mompati,2021,fruitless,Fruitless and Wasteful Expenditure,709876
DC39,Dr Ruth Segomotsi Mompati,2021,irregular,Irregular Expenditure,88772063
DC39,Dr Ruth Segomotsi Mompati,2021,unauthorised,Unauthorised Expenditure,121803841
DC4,Garden Route,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC4,Garden Route,2021,irregular,Irregular Expenditure,25154016
DC4,Garden Route,2021,unauthorised,Unauthorised Expenditure,1367435
DC40,Dr Kenneth Kaunda,2021,fruitless,Fruitless and Wasteful Expenditure,7374
DC40,Dr Kenneth Kaunda,2021,irregular,Irregular Expenditure,26583024
DC40,Dr Kenneth Kaunda,2021,unauthorised,Unauthorised Expenditure,0
DC42,Sedibeng,2021,fruitless,Fruitless and Wasteful Expenditure,0
DC42,Sedibeng,2021,irregular,Irregular Expenditure,38006980
DC42,Sedibeng,2021,unauthorised,Unauthorised Expenditure,22238633
DC43,Harry Gwala,2021,fruitless,Fruitless and Wasteful Expenditure,8198792
DC43,Harry Gwala,2021,irregular,Irregular Expenditure,68556550
DC43,Harry Gwala,2021,unauthorised,Unauthorised Expenditure,0
DC44,Alfred Nzo,2021,fruitless,Fruitless and Wasteful Expenditure,3575
DC44,Alfred Nzo,2021,irregular,Irregular Expenditure,84389697
